id,name,host_id,room_type_id,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16627548,"""Desirable Deal on The Park""",2300134,1,80,1,139,2019-06-24,4.59,2,0
13511266,"""FALL IN LOVE WITH NYC & MY HOME""",76192815,2,100,32,3,2018-05-10,0.11,5,243
22187361,"""Gold Coast"" 1B in West Village w/ Back Yard",202285,2,320,11,4,2019-01-07,0.22,1,0
23373453,"""Grandma Chic"" Brooklyn Apartment... Williamsburg",23089194,1,69,5,6,2019-01-02,0.51,1,0
35377489,"""HAPPYNEST"" CANARSIE",266322736,2,110,2,2,2019-06-30,2,1,87
18582792,"""HELLO BROOKLYN"" PARK SIDE VIEW NEWLY RENO APT.",52403444,2,109,1,146,2019-06-24,5.57,3,21
24845976,"""Home sweet Home :) """,187822021,2,120,30,5,2019-03-09,0.37,1,5
30041537,"""Home sweet Home""  Welcome friends",224315550,1,90,2,39,2019-06-26,5.37,2,78
34443205,"""Hop and Skip to NYC""",35819327,2,135,2,1,2019-07-02,1,1,0
25963570,"""I LOVE BROOKLYN""  Newly Renovated Studio APT.",52403444,2,109,1,75,2019-06-21,5.77,3,20
27868079,"""In the Clouds"" Brooklyn Heights Studio",23115464,2,125,8,1,2018-09-27,0.1,1,207
34391036,"""In The Heights""  2 Queen Beds in Huge Private Br.",27973267,1,150,1,9,2019-06-29,5.19,5,188
34390910,"""In The Heights"" King Br w/on-suite shared bath.",27973267,1,150,1,7,2019-06-21,5.12,5,185
34390308,"""In the Heights"" King Size Br w/shared baths.",27973267,1,75,1,9,2019-07-02,5.19,5,84
34390645,"""In the Heights"" Love: 2 Queen beds. beautiful br.",27973267,1,150,1,4,2019-06-22,2.31,5,160
34386648,"""In The Heights"" Luxurious triplex in historic TH",27973267,2,595,2,4,2019-06-01,2.35,5,39
28989889,"""MI Casa es su Casa """,211638781,1,65,3,26,2019-06-29,2.83,2,46
30421742,"""Mi casa es su casa"" Welcome home",224315550,1,90,2,27,2019-07-05,3.84,2,56
16629299,"""Oasis on The Park""",2300134,1,85,1,148,2019-06-23,4.96,2,46
11750272,"""Off the Beaten Path"" NYC OASIS",25059970,2,75,5,81,2019-06-19,2.04,1,155
13065356,"""Quaint-Essential"" Living in the West Village",42399786,2,145,3,100,2018-09-15,2.62,1,0
24405674,"""San-Paraíso"" 80s curated Retro 3 Bedroom LES Pad",19259290,1,290,1,99,2019-07-01,6.96,1,70
33780377,"""Sea Gate"" Sunny cozy very clean studio app",194716858,2,125,10,1,2019-06-20,1,1,180
411336,"""Simple Perfect Soho""",2047776,2,225,2,244,2019-07-01,2.81,2,252
28213718,"""Sweet Home near to Bronx Zoo in Little Italy """,211638781,1,100,3,36,2019-06-18,3.69,2,49
29339310,"""The Dumont"" Event Space",221036535,2,300,1,12,2019-06-29,1.49,1,175
33835470,"""The Grand Budapest"" room in Brooklyn!",255448841,1,55,1,15,2019-07-07,5.92,3,15
4661662,"""The Green Room"": Harlem Brownstone",21455957,1,70,3,122,2019-06-29,2.19,2,243
24910361,"""The Little House by the Sea""",188328775,2,200,2,7,2019-07-06,0.55,1,44
19698169,"""The luxury of Comfort""",131826530,1,2500,2,0,,,3,179
28287064,"""THE MANHATTAN OASIS"" Penthouse & Private Terrace",213438424,2,345,2,35,2019-06-03,3.44,1,262
188146,"""The Oasis"" on Bedford Williamsburg",906200,2,350,6,1,2016-01-01,0.02,1,233
19427899,"""The Park View"" in Sunset Park",13484820,1,55,2,0,,,1,0
34415817,"""The quick get a way""",241454071,1,35,2,4,2019-07-04,4,2,27
35614155,"""The quick get Away #2""",241454071,1,35,2,1,2019-06-26,1,2,59
29929702,"""The Spot""",225033890,2,140,2,27,2019-06-23,3.68,1,201
4135876,"""The Studio"" Harlem Brownstone",21455957,1,70,3,86,2019-01-15,1.48,2,157
34903658,"""Treehouse"" in the East Village with Private Patio",80573606,2,275,2,3,2019-06-16,2.05,1,12
18565752,"""WELCOME TO BROOKLYN"" PARK SIDE VIEW STUDIO APT",52403444,2,109,1,148,2019-06-23,5.59,3,20
6377669,"""Your home away from home #2",33166971,1,53,2,56,2019-06-01,1.12,2,81
28344821,"“Brownstone in Brooklyn”
Close to Manhattan!",57827692,2,145,3,14,2018-12-26,1.45,1,0
26275024,“Comfort Inn” Queens. NON-SMOKERS ONLY.,22737802,3,65,3,8,2019-06-30,0.71,1,161
34867034,“Epic” The highest apartment in New York,184506477,2,440,2,1,2019-05-21,0.61,1,2
28826608,“For Heaven Cakes”,217379941,2,75,1,132,2019-07-05,15.78,1,28
1059891,“L lx w w.     XThank &mftkn.  .,11837926,1,150,7,44,2019-05-31,0.74,3,365
33589468,“Mi casa es tu casa” “My home is your home” NYC,109567034,2,150,2,15,2019-07-07,6.92,1,69
3465651,"“No Place Like Home”
1st Floor Suburban Apt.",4060346,1,56,1,145,2019-07-05,2.38,1,258
29383233,"“One of a kind” Penthouse 
獨一無二的紐約閣樓",213781715,2,179,1,1,2019-05-26,0.68,33,187
31052540,“Quincy Manor” in the heart of Bedford-Stuyvesant.,82735692,2,100,2,20,2019-07-07,3.16,1,273
24806106,“Studio” ideally located  across Golf Course,132669029,2,74,2,37,2019-06-13,2.63,4,70
29827403,"“TIME SQUARE” 43rd Street
Big Bedroom on 1st floor",30985759,1,135,1,50,2019-07-07,6.2,6,316
29929331,“TIME SQUARE” 43rd street SINGLE BED,30985759,3,70,1,59,2019-07-04,7.47,6,314
5414911,“纽约之家 ”独立洗手间PrivateBathroom,27673980,1,65,1,76,2019-04-08,1.46,8,25
5762947,“纽约之家” 独立洗手间PrivateBathroom,27673980,1,60,1,100,2019-05-27,1.93,8,76
34516874,( BLUE ROOM ) Private in Beautiful Town House,50052968,1,100,2,4,2019-06-27,2.67,3,63
51850,( F) Excellent/Pvt Rm,27848,1,55,2,52,2019-05-20,0.49,2,365
34403759,( GREEN ROOM) Private in a Beautiful Town House,50052968,1,42,2,9,2019-07-01,4.91,3,64
1777197,( Hostal ) 1 full size Mattress (Top Bunk),2793778,3,75,5,63,2019-05-19,0.91,5,19
24367113,( Private Garden )  Where Hansel and Gretel live.,3540748,2,175,2,4,2018-12-09,0.28,1,354
34756040,(= RENT ME RENT ME =),262118049,2,212,1,1,2019-06-26,1,1,0
21065293,(=CUTE ROOM IN HELL'S KITCHEN=),137191484,1,86,1,158,2019-06-27,7.33,5,170
22230702,(☆☆☆☆☆) New ultra-modern 1 bedroom apartment,129165729,2,150,1,75,2019-06-30,4.38,1,317
1546945,(1) CLEAN HOME AWAY FROM HOME!,4983320,1,59,1,116,2017-09-06,1.63,2,0
14359772,(1)Comfy Home Away From Home/Multiple rooms!!,88043058,1,83,1,110,2019-07-06,3.46,4,307
927597,(2) CLEAN HOME AWAY FROM HOME!,4983320,1,76,1,75,2017-01-01,1,2,0
15943090,(2)Comfy Home Away From Home/Multiple Rooms!!!,88043058,1,45,1,45,2019-06-23,1.47,4,361
17593461,(2R) Cozy and clean bedroom with private bathroom,119548006,2,39,2,113,2019-07-03,4.04,2,3
36302523,(2RW) Chic Chelsea Studio Just for You,271275048,2,109,30,0,,,2,363
15943497,(3)Comfy Home Away From Home/Multiple Rooms,88043058,1,40,1,41,2019-05-24,1.34,4,352
17759478,(4) Comfy Home Away From Home/Multiple Rooms,88043058,1,89,1,76,2019-06-30,2.77,4,358
29576256,(A) Brand New apto just few steps from the train,222659001,1,55,2,26,2019-06-26,3.59,4,192
34934854,(A) Private Twin Single Room LGA JFK Manhattan 15m,263053182,1,55,1,0,,,10,106
21358406,(A) Room for 2 w private bathroom,110965771,1,80,2,36,2019-05-18,1.76,7,122
23792629,(AB) 2 rooms - 4 ppl  private and sharing bath,110965771,1,100,1,0,,,7,71
21191862,(ABC) 3 bedrooms-2 bath up to 6 pp,110965771,1,200,2,12,2019-06-09,0.64,7,35
22786489,(AC) 4 ppl - 2 Rooms 1 private and 1 sharing bath,110965771,1,140,2,14,2019-05-20,0.81,7,57
676295,(B)  BARGAIN SPACE,27848,1,58,2,56,2019-07-01,0.67,2,365
17680909,(B) Great value & clean apartment in New York,119548006,2,45,2,142,2019-07-03,5.03,2,2
34937986,(B) Private Single Twin Room LGA JFK Manhattan 15m,263053182,1,55,1,3,2019-06-19,2.57,10,120
23240738,(B) Room for 2 - sharing bath,110965771,1,60,2,25,2019-02-13,1.54,7,14
23792770,(BC) 2 rooms 4 ppl 1 sharing bath,110965771,1,100,2,0,,,7,0
29588528,(C) Brand New apto just few steps from the train,222659001,1,55,2,28,2019-07-01,3.43,4,167
34938166,(C) Private Single Room Twin LGA JFK Manhattan 15m,263053182,1,55,1,0,,,10,95
21230280,(C) room for 2 - sharing bath,110965771,1,45,2,24,2019-04-28,1.22,7,57
29588587,(D) Brand New apto just few steps from the train,222659001,1,55,2,35,2019-06-27,4.25,4,209
34938410,(E) Private Queen Room LGA JFK Manhattan 15m,263053182,1,70,1,0,,,10,112
22277436,(Entire apt) Bright 1 Br apt in Astoria Queens NY,138200407,2,71,98,0,,,1,0
3684144,(Hidden by Airbnb) ! BrooklynCleanRoom!!,2955491,1,55,2,20,2019-06-25,0.41,1,19
21741106,(moving out) ENTIRE place READ BEFORE YOU BOOK,64609445,2,43,3,7,2018-08-08,0.38,2,0
22290967,(Room 102)法拉盛舒适轻奢套房,75216989,1,79,2,14,2019-06-12,1.71,4,320
14383283,(Room201)7分钟拉瓜迪机场19分钟肯尼迪机场｡皇后区法拉盛中心地段超好｡#201,75216989,1,35,1,61,2019-05-18,1.72,4,342
30959724,(UES) Entire Apartment Near Central Park,21154516,2,180,2,15,2019-06-23,3.06,1,57
2217609,(Williamsburg) - Large Bedroom w/ Private Bathroom,11313668,1,45,2,26,2019-03-01,0.68,2,241
16226427,(Williamsburg) Large bedroom with private balcony,11313668,1,55,1,8,2019-03-24,0.26,2,0
27397256,(WOMEN ONLY) Spacious & 10 min from the airport!,33905781,1,45,2,4,2018-09-28,0.37,1,249
8088779,[201] 5 min WALK to Times Square,35524316,3,250,1,134,2019-06-07,2.88,11,306
6786761,[202] 5 min WALK to Times Square!,35524316,1,155,1,176,2019-06-19,3.57,11,248
6795568,[203] 5 min WALK to Times Square,35524316,1,155,1,179,2019-06-20,3.66,11,243
6787310,[205] 5 min WALK to Times Square,35524316,1,210,1,182,2019-06-23,3.69,11,249
6799692,[206] 5 min WALK to Times Square,35524316,1,255,1,192,2019-06-26,3.91,11,305
6799895,[301] 5 min WALK to Times Square,35524316,1,155,1,201,2019-06-28,4.1,11,240
6799932,[302] 5 min WALK to Times Square,35524316,1,155,1,200,2019-06-16,4.07,11,240
6799957,[303] 5 min WALK to Times Square,35524316,1,155,1,203,2019-06-13,4.13,11,211
6799999,[305] 5 min WALK to Times Square!,35524316,1,165,1,153,2019-06-15,3.16,11,271
6799814,[306] 5 min WALK to Times Square,35524316,1,245,1,162,2019-06-30,3.29,11,1
6800277,[307] 5 min WALK to Times Square,35524316,1,155,1,189,2019-06-23,3.86,11,245
25222993,[ENTIRE APT] Large Designer 1 bd apt in Manhattan,9414337,2,150,5,1,2018-07-05,0.08,1,0
33492587,[Entire place] Comfy Apt in Prime Location,13442714,2,173,5,2,2019-06-06,0.76,2,3
36356416,[Female Only]Private Room near Columbia University,118767681,1,49,1,0,,,1,14
12674934,[Midtown NYC] Private room w/ private bathroom,17016231,1,69,1,5,2016-05-30,0.13,1,0
30932555,[New] Hell's Kitchen/Time SQ Private One Bed Room,231144414,2,179,2,17,2019-06-20,4.77,1,229
30910712,[New] Manhattan-Hell's Kitchen Private Studio,231003106,2,125,2,22,2019-06-23,3.55,1,230
32821769,[NEWLY RENOVATED] -  SMACK DAB IN THE ❤️ of NYC,229496718,2,489,3,10,2019-06-14,2.68,1,81
24783060,[Priv Rooftop] Sunny-Spacious duplex Penthouse,187388261,2,140,8,1,2018-12-31,0.16,1,0
24279933,[Priv Rooftop] Sunny-Spacious Priv Bath bedroom,36632628,1,45,4,6,2018-11-26,0.41,1,0
9844161,[Prospect park] Brand New Huge Room,44791860,1,50,1,0,,,1,0
34256514,[Special Price] Have a nice trip with my room!,69339916,1,70,1,3,2019-06-21,2.57,1,71
13492449,[TRUE 1br] Heart of the West Village,31489150,2,190,2,2,2016-09-17,0.05,1,0
17988416,《1》法拉盛市中心明亮干净的私人房间,123580100,1,45,1,82,2019-06-17,3.01,2,52
18228187,《2》法拉盛市中心明亮干净的私人房间,123580100,1,45,1,94,2019-06-17,3.48,2,62
36280858,【Brooklyn N R地铁口 45街阳光主卧7月短租】限女生Only girls,122963021,1,30,7,0,,,1,190
21539835,【South Facing 1b1b Luxury5th ave&time square】,156571787,2,300,2,1,2017-10-31,0.05,1,0
20167771,【ｱｸｾｽ抜群】空港10分･ﾏﾝﾊｯﾀﾝ10分!駅徒歩5分の好立地なお部屋です,143534216,1,80,2,8,2017-10-14,0.35,1,0
11456047,【完全個室】1BR､専用ﾊﾞｽﾄｲﾚ､ｷｯﾁﾝ付き(Queens),60239797,1,100,1,0,,,1,0
23417242,【限1~2名女生】近哥伦比亚大学超方便短租房【无其他费用】(情侣请私聊),174628863,1,60,2,3,2018-05-08,0.18,1,0
24632879,@ Amazing Midtown Furnished  Apartment @,3191545,2,150,30,0,,,23,0
17108995,@ AMAZING ROOM @ TIMES SQUARE @ BEST LOCATION @,15941961,1,135,3,126,2019-06-17,4.42,1,3
30496490,@@@Prime Location 2 Bedrooms NYC@@@,195422078,2,365,30,0,,,1,145
15003711,@BrooklynWhisky's: Birdsnest-Guest Room,62345,1,78,1,80,2019-06-26,2.44,1,30
20917712,@FERRY Private Cozy Room Renovated&Stylish.,117492425,1,29,4,61,2019-06-24,2.81,6,178
18066269,@Ferry2Bedroom/3beds.PrivateRenovated/Stylish...,117492425,2,72,4,97,2019-06-26,3.71,6,152
22649404,@Ferry2Bedroom/4bed.PrivateRenovated/Stylish...,1715301,2,65,4,63,2019-06-27,3.63,3,191
17383677,@FerryHUGE 2Br/3beds. PrivateRenovated/Stylish..,117492425,2,65,4,96,2019-07-01,3.42,6,147
19878366,@FerryLarge Private RmRenovated/StylishViews...,117492425,1,33,4,63,2019-07-03,2.78,6,197
17764355,@FerryLoft2Bdrm/4bed.PrivateRenovated/Stylish,1715301,2,75,4,117,2019-07-01,4.31,3,173
21794374,@the heart Of Queens. 20Mins 2 Downtown.nearall.B,60291768,2,99,4,42,2019-06-16,2.17,2,64
36177747,* Brooklyn's Prospect Park Perfection *,13422723,2,90,4,1,2019-07-03,1,1,14
28345080,* GRAMERCY * TOP LOCATION * ULTRA MODERN BEDROOM,214029598,1,120,3,3,2019-01-06,0.33,1,0
26716338,* Lovely Washington Heights Room *,116308258,1,70,7,2,2018-08-28,0.18,1,0
29515916,* Modern Private BR in the Heart of Williamsburg *,7268300,1,80,4,3,2019-05-28,0.48,1,7
14290,* ORIGINAL BROOKLYN LOFT *,56104,2,228,3,82,2019-05-17,0.7,1,140
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,2,250,2,80,2019-07-06,2.17,1,0
29779937,**  2 Bedrooms in Central NYC! ***,194954408,2,295,28,4,2019-05-20,0.51,1,147
29541790,** COZY & SPACIOUS  1/1   -  HARLEM,196669206,2,119,2,24,2019-06-17,3.43,1,120
24276183,** Foodies LOVE This Neighborhood?=>Authentic!!!,59749141,2,165,2,61,2019-06-26,4.06,1,59
35425682,** Location~Location~Location in Time Square **,266477120,2,120,3,2,2019-07-05,2,1,203
21539105,** SoHo: Clean Bright Tatami Room,104450469,1,80,3,2,2018-06-11,0.11,2,0
21056487,** SoHo: Clean Safe Private Quiet Bedroom (B)**,104450469,1,99,2,35,2019-02-07,1.62,2,129
25689024,*** Brooklyn Secret Spot ***,127345864,2,85,2,33,2019-07-03,2.74,4,34
5919646,*** Gorgeous 2BD apt with Terrace ***,410962,2,200,3,14,2019-07-07,0.32,1,9
34017530,*** HEART OF MANHATTAN (Herald Square) ***,150879430,1,99,14,0,,,1,25
28286101,*** Hell's kitchen quiet private room ***,137191484,1,99,1,62,2019-06-30,6.55,5,351
459066,******AMAZING DEAL IN NYC*****,2282355,2,150,2,23,2019-01-01,0.27,1,0
13881135,****THE SUITE LIFE DUPLEX****,923465,1,69,5,54,2019-07-02,1.55,1,320
34176229,***Awesome bedroom in the heart of  Manhattan***,34782150,1,200,2,0,,,1,0
21079505,***Come Stay in Comfort while you Experience NYC**,151940941,1,55,3,66,2019-06-23,3.05,1,251
35644433,***Cozy artist loft in heart of Williamsburg***,268150010,2,200,2,0,,,1,14
35197107,***Entire Apartment 5 mins to JFK***,265043054,2,100,1,4,2019-07-01,4,1,78
838586,***HOT SPOT*** 2 blocks to L/G Trains *** Modern,326150,2,200,2,11,2019-04-27,0.23,1,0
13112311,***Lux Doorman/FurnishedBattery Park ***,52950465,2,250,30,0,,,12,280
13170860,***Luxury Doorman Grand Central United Nations**,52950465,2,142,30,0,,,12,323
36102578,***New*** Explore the NYC in this Brooklyn Oasis,271568898,2,150,1,0,,,1,9
21990808,***SLEEPING IN THE GOLDEN PLACE***,159156636,1,120,1,88,2018-12-14,4.93,3,0
25829582,***WELCOME TO MI CASA TU CASA NEAR JFK/LGA AIRPORT,117543014,1,38,2,43,2019-04-28,3.32,1,0
10292758,**3BR Large Duplex/private Garden Time Square!!,52950465,2,225,30,18,2017-12-05,0.45,12,173
24179288,**Amazing Private Room 20 min to manhattan,154258141,1,60,2,41,2019-06-24,2.78,10,359
20914119,**Amazing Studio Balcony Steps from Time Square**,52950465,2,129,30,1,2017-12-05,0.05,12,310
14466418,**Amazing Luxury Doorman VIEW Battery Park**,52950465,2,149,30,2,2017-12-08,0.06,12,281
4339202,**ASTORIA one private cozy cute room** Nihongo ok,22527661,1,70,3,2,2019-05-23,0.05,1,23
30186632,**Bed-Stuy Studio**,2823246,2,70,4,1,2018-11-23,0.13,1,0
36379995,**Bright Luxury Apt in Financial District+Balcony,90870599,2,225,4,0,,,1,79
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,2,180,30,21,2019-06-29,0.3,1,154
31823858,**BROOKLYN BLUE**MODERN LUXE STUDIO SUITE,198674748,2,126,3,23,2019-06-26,4.51,1,6
22338850,**BUDGET private room w/backyard,154258141,1,45,3,10,2019-05-29,0.9,10,322
24177822,**Budget Private Room w/Private backyard,154258141,1,44,2,30,2019-05-10,2.06,10,322
24179556,**Captivating Private Budget Room,154258141,1,65,2,29,2019-05-11,1.9,10,356
6908837,**Caribbean Blue- 8 mins to JFK **,36205028,1,53,1,189,2019-06-21,3.9,2,348
7787983,**Caribbean Blush-8 mins to JFK**,36205028,1,52,1,179,2019-06-24,3.79,2,350
35914591,**Central Park* UWS Luxury 4 Bed/2 Bath Sleeps 8!!,270139900,2,307,4,0,,,1,344
30741302,**Cozy Private Room(B),52140932,1,49,2,19,2019-06-20,3.22,7,360
30740488,**Cozy Private Room(M),52140932,1,49,2,13,2019-05-24,2.22,7,294
16164264,**Cozy Room In Hip Ultra Location LES/NOLITA**,105511610,1,98,2,76,2019-06-24,2.42,1,46
23273907,**Cozy room good location 20 mins to Manhattan,173249074,1,50,4,36,2019-06-26,2.19,2,316
18931423,**Cozy Space - Private Access**,10655479,1,70,2,85,2019-06-23,3.33,1,16
7791636,**Dominique's NYC couch bed **sleep*shower &  go**,310670,3,45,1,1,2019-04-20,0.37,13,318
14946346,**East Side NYC 1 Bedroom Apt**,30283594,2,279,30,0,,,121,365
24223406,**Enormous Budget Private Room,154258141,1,65,2,40,2019-06-04,2.65,10,343
27652402,**Excellent Private Room w/Comfy Bed**,38123545,1,52,2,25,2019-06-24,2.31,2,328
66451,**Fantastic Williamsburg Apt**,325389,2,140,2,9,2019-02-16,0.11,1,254
24992835,**FULL FLOOR - 3 BEDRMS Times Sq/Restaurant Row**,157402346,2,350,2,60,2019-06-17,4.28,1,224
27653212,**Great Budget Private Room**,38123545,1,55,2,24,2019-06-24,2.32,2,347
29828333,**Harlem Chic Getaway! 5m to Dining/Trains***,216634331,2,202,3,8,2019-06-21,1.1,1,88
27249535,**Harmony Room with Bed and Futon**,205234874,1,60,2,24,2019-06-21,2.22,2,360
20057851,**Irresistible Jewel**,14408045,2,199,3,27,2018-10-26,1.21,1,0
9879556,**Luxury 1 Bedroom Upper East Side NYC Apt,30283594,2,249,30,1,2018-01-25,0.06,121,273
27201242,**Newly Listed 2-bedroom gem with private entrance,1837068,2,110,2,21,2019-06-08,2.96,1,13
30340171,**Newly Renovated Cozy Urban Oasis entire apt**,227818501,2,120,2,13,2019-06-18,1.83,2,97
25504104,**Private Bath** Master Suite in Hip Brooklyn,60346942,1,90,1,39,2019-05-29,2.98,4,0
26501791,**Private Entrance Apartment W/ Bedroom & Bath**,199315923,2,65,3,49,2019-07-02,4.06,1,293
33829619,**Private Room in Newly Renovated Apartment,10149317,1,60,2,7,2019-06-29,2.63,5,305
23560164,**Spacious 47th-Floor Apt** Convenient Location,38202756,2,186,3,4,2018-04-01,0.24,1,0
27435989,**Studio Apartment 20 min. From MANHATTAN **,206758830,2,85,2,36,2019-06-09,3.4,1,290
13429562,**Stunning 1 bedroom Apt. + Amazing amenities,30283594,2,239,30,1,2018-07-14,0.08,121,179
22686751,**Summer in SugarHill Manhattan is VERY Sweet**,167208041,2,173,2,78,2019-07-06,4.43,1,0
35672777,**SUMMER OFFER**Healers LOFT: Tranquil and Light,2010787,2,297,20,0,,,1,276
19450121,**Vacation in Comfort as you Visit the Big Apple**,73186534,1,48,2,53,2019-07-06,2.48,1,242
710284,**YOUR CHELSEA LOFT WELCOME HOME,3642625,2,425,5,7,2015-04-11,0.09,1,0
